"Data Year","Data Year (cat)",Country,Region,Gender,Age,"Age (cat)",Handedness,Height,"Right foot length","Arm span","Languages spoken","Travel method to school","Travel time to school","Reaction time","Memory time","Favourite physical activity","Reducing pollution",Recycling,"Conserving water","Conserving energy","Owning a computer","Access to the internet","Left foot length","Longer foot","Index finger length","Ring finger length","Long finger left hand","Birth month","Favorite season",Allergies,Vegetarian,"Favorite food",Beverage,"Favorite school subject","Sleep hours (school night)","Sleep hours (non-school night)","Home occupants","Home internet access","Communication with friends","Text messages sent yesterday","Text messages received yesterday","Hanging out with friends","Talking on the phone","Doing homework","Doing things with family","Playing sports/outdoor games or activities","Playing computer/video games","Using social networking web sites","Sending/receiving text, SMS, or computer instant messages","Using the computer/internet","Watching TV","Paid work","Housework/Jobs at home","Schoolwork pressure","Planned education level","Favorite music",Superpower,"Preferred status","Role model type","Charity donation"
2015,[2015],USA,TX,Male,10,[10],Right-Handed,140,23,143,1,Walk,5,0.782,70,"Football (American)",1000,1000,1000,572,396,765,21,"Right foot",83,80,"Index finger",October,Summer,No,No,"Rice/Noodle dishes",Water,"Computers and technology",5,8,5,"Yes - broadband connection","In person",0,0,3,0,1,4,2,7,3,0,2,1,2,2,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,"Sports person",Health
2014,[2014],USA,MI,Male,17,[17],Right-Handed,178,28,178,1,Car,8,0.341,50,Basketball,500,450,700,750,400,400,27,"Right foot",72,76,"Ring finger",November,Summer,No,No,Fruit,Milk,Science,7,8.5,5,"Yes - dial-up connection","Text messaging",120,120,6,2,16,26,16,2,2,8,20,6,0,5,"A lot","Graduate degree","Rock and roll","Super strength",Happy,"Sports person",Health
2015,[2015],USA,CO,Female,17,[17],Right-Handed,160,24,150,1,Car,13,0.343,32,Tennis,500,350,700,700,350,350,24,"Same length",,,,October,Fall,No,No,Seafood,Tea,English,6,9,5,"Yes - broadband connection","In person",0,0,3,3,15,2,2,0,0,1,7,2,15,1,Some,"Graduate degree",Country,Fly,Happy,Relative,Other
2015,[2015],USA,CA,Male,16,[16],Right-Handed,180,28,184,2,Bus,0,0.394,37,"Martial Arts",343,437,711,501,1000,1000,29,"Left foot",,,,October,Summer,Yes,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",6,9,3,"Yes - broadband connection","Text messaging",20,25,25,0,28,10,0,3,1,2,20,2,0,2,"A lot","Graduate degree","Rock and roll","Freeze time",Rich,"Religious figure","International aid"
2015,[2015],USA,VA,Male,17,[17],Right-Handed,174,27,178,1,Bus,20,0.3866,63,Basketball,503,225,241,187,412,176,26,"Right foot",90,100,"Ring finger",April,Spring,,No,Meat,Juice,Other,6,9,2,"Yes - other","Text messaging",21,22,3,5,1,2,6,0,25,10,26,78,16,0,"Very little","Graduate degree",Pop,Invisibility,Rich,Other,Other
2011,[2011],USA,OH,Male,9,[.-9],Right-Handed,141,20,145,1,Car,5,0.411,42,Lacrosse,625,1000,775,,783,1000,20,"Same length",63,70,"Ring finger",May,Spring,Yes,No,Meat,Water,Art,8,6,7,"Yes - dial-up connection",Telephone,0,0,24,1,2,5,7,2,1,1,1,2,1,4,"Very little","Some college","Rock and roll",Invisibility,Healthy,"Business person",Health
2013,[2013],USA,MD,Male,10,[10],Ambidextrous,145,23,135,3,Car,15,0.31,52,Soccer,781,893,1000,529,551,663,23,"Same length",70,80,"Ring finger",September,Summer,No,No,Pizza/Pasta,Water,"Physical education",7,8,5,"Yes - other","Text messaging",100,100,2,1,1,4,6,7,1,2,3,2,0,2,"Very little","Graduate degree",Pop,Invisibility,Healthy,"Sports person","Wildlife, animals"
2015,[2015],USA,MI,Female,11,[11],Right-Handed,150,32,152,2,Bus,10,0.375,61,Basketball,575,575,610,700,450,815,32,"Same length",,,,April,Summer,No,No,Fruit,"Sports drink","Mathematics and statistics",7,10,4,"Yes - broadband connection","Text messaging",13,15,8,2,2,4,2,0,1,3,6,3,9,1,Some,"Graduate degree","Rap/Hip hop",Telepathy,Famous,Other,Health
2014,[2014],USA,GU,Male,13,[13],,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2013,[2013],USA,NY,Female,17,[17],Right-Handed,153,24,158,2,"Rail (Train/Tram/Subway)",60,0.564,46,Running/Jogging,1000,950,970,950,1000,1000,23,"Right foot",96,100,"Ring finger",March,Fall,No,No,Fruit,Coffee,English,5,8,4,"Yes - other","Text messaging",120,150,10,5,12,10,5,0,20,25,20,10,2,0,Some,"Graduate degree",Reggae,Telepathy,Rich,Politician,Health
2015,[2015],USA,WI,Male,16,[16],Ambidextrous,169,26,176,1,Car,10,0.656,33,Soccer,0,0,0,,1000,1000,27,"Left foot",85,100,"Ring finger",January,Summer,No,No,Pizza/Pasta,Water,"Social studies",7,9,2,"Yes - broadband connection","In person",17,22,71,5,9,4,9,4,3,3,5,2,12,5,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,Other,"Education/Youth development"
2014,[2014],USA,UT,Male,17,[17],Right-Handed,185,27,184,1,Car,6,0.408,44,"Martial Arts",600,600,600,600,500,500,26,"Right foot",75,79,"Ring finger",July,Spring,Yes,No,Meat,Water,History,9,7,3,"Yes - other","In person",15,15,8,0,0,5,8,3,2,1,6,6,20,0,Some,"Undergraduate degree","Rap/Hip hop","Freeze time",Rich,"Sports person",Other
2015,[2015],USA,MA,Female,0,,Ambidextrous,157,24,152,3,Walk,20,0.38,50,Other,1000,1000,1000,1000,500,500,24,"Same length",80,80,"Same length",March,Spring,Yes,No,Other,"Energy drink","Mathematics and statistics",7,12,7,"Yes - broadband connection","Text messaging",0,0,60,30,5,0,3,0,10,100,7,0,14,10,,"Graduate degree",Other,"Freeze time",Rich,Other,Health
2011,[2011],USA,GA,Male,11,[11],Right-Handed,154,21,157,3,Bus,9,0,32,Soccer,1000,1000,999,,1000,1000,21,"Same length",,,,March,Summer,No,Yes,Pizza/Pasta,Water,History,8,5,3,"Yes - broadband connection","Text messaging",10,21,20,9,11,24,15,2,5,5,20,2,1,12,"Very little",Other,"Rap/Hip hop",Telepathy,Rich,"Business person","International aid"
2014,[2014],USA,WI,Female,14,[14],Right-Handed,170,26,150,1,Car,5,0.428,87,Skateboarding/Rollerblading,500,500,500,500,900,800,26,"Same length",80,80,"Same length",October,Spring,Yes,No,Desserts,Milk,"Computers and technology",9,10,4,"Yes - broadband connection","In person",3,4,1,0,8,3,1,7,0,1,83,8,0,75,"A lot","Some college",Other,Telepathy,Happy,Relative,Religious
2013,[2013],USA,NC,Male,14,[14],Right-Handed,166,25,157,3,Bus,4,0.315,45,Skateboarding/Rollerblading,1000,503,1000,1000,1000,1000,24,"Right foot",85,90,"Ring finger",January,Summer,No,No,Meat,Milk,"Computers and technology",9,12,2,"Yes - other","Internet chat or instant messaging",42,45,15,4,10,10,15,12,10,14,8,10,0,5,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,Relative,Other
2015,[2015],USA,OH,Female,13,[13],Right-Handed,167,24,167,1,Walk,60,0.227,51,"Hockey (Field)",0,0,0,0,1000,1000,24,"Same length",70.5,80,"Ring finger",July,Spring,Yes,No,Meat,Water,Music,5,10,5,"Yes - dial-up connection","Text messaging",200,0,0,0,1,1,2,0,2,2,3,0,0,1,"A lot","Graduate degree","Rock and roll",Telepathy,Famous,"Doctor or nurse",Health
2013,[2013],USA,GA,Male,16,[16],Right-Handed,174,29,164,2,Car,35,0.19,46,"Football (American)",500,400,600,300,100,100,29,"Same length",,,,August,Fall,Yes,No,Meat,Water,History,7,9,4,"Yes - broadband connection","In person",100,101,42,2,14,5,15,6,3,1,2,2,0,3,"A lot","Graduate degree","Rap/Hip hop",Fly,Happy,"Sports person",Health
2015,[2015],USA,IN,Male,0,,Right-Handed,216,38,216,1,Car,15,0.7,59,Walking/Hiking,0,0,0,,0,0,38,"Same length",,,,March,,,,,,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2015,[2015],USA,AR,Female,0,,Right-Handed,175,0,175,1,Car,10,0.291,45,Baseball/Softball,27,449,70,358,963,973,0,,90,88,"Index finger",February,Summer,Yes,No,Pizza/Pasta,Water,History,7,9,4,"Yes - broadband connection","Text messaging",100,100,7,1,2,8,11,0,4,9,7,3,1,4,"A lot","Undergraduate degree",Other,Fly,Healthy,"Religious figure",Health
2013,[2013],USA,NC,Male,15,[15],Right-Handed,158,30,160,2,Car,5,0,13,"Football (American)",1000,900,800,700,600,999,30,"Same length",100,70,"Index finger",November,Summer,No,No,Poultry,"Soft drink (caffeinated)","Physical education",9,,5,"Yes - other","Internet chat or instant messaging",5,20,5,10,2,3,5,0,12,12,6,2,5,1,Some,"Graduate degree","Rap/Hip hop",Telepathy,Famous,"Sports person","International aid"
2013,[2013],USA,IL,Male,0,,Right-Handed,182,28.5,199,6,Car,6,0.357,39,Soccer,1000,1000,1000,1000,1000,1000,29,"Same length",100,100,"Same length",August,Summer,No,No,Pizza/Pasta,Tea,History,8,10,4,"Yes - broadband connection","Text messaging",14,15,7,1,10,5,5,2,4,1,10,5,0,3,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,"Sports person","Arts, culture, sports"
2014,[2014],USA,NC,Female,15,[15],Right-Handed,155,24,155,1,Bus,3,0,0,Basketball,6,9,5,10,10,10,24,"Same length",,,,August,Spring,No,No,Fruit,Water,"Physical education",6,,5,"Yes - other","Text messaging",30,40,1,1,1,3,0,0,0,0,0,0,0,0,"Very little","Graduate degree","Rap/Hip hop","Freeze time",Rich,"Sports person",Health
2014,[2014],USA,CA,Male,16,[16],Right-Handed,173,28,167,3,Car,7,0.622,43,"Martial Arts",0,0,0,,0,0,28,"Same length",,,,,,,,,,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2014,[2014],USA,NC,Male,13,[13],Ambidextrous,0,22,0,1,Car,10,0.334,38,Basketball,0,0,0,0,25,25,25,"Left foot",60,80,"Ring finger",October,Summer,No,No,Seafood,"Sports drink","Mathematics and statistics",0,,1,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,67,100,50,0,30,98,50,0,0,90,40,0,"A lot",Other,"Rap/Hip hop",Telepathy,Rich,"Sports person","Wildlife, animals"
2013,[2013],USA,NJ,Female,14,[14],Right-Handed,160,25,102,2,Walk,15,0.417,47,Baseball/Softball,1000,500,626,770,209,80,26,"Left foot",60,60,"Same length",August,Spring,No,No,Salads,Water,History,9,12,7,"Yes - broadband connection","Internet chat or instant messaging",0,0,0,0,2,3,1,2,2,3,4,1,0,7,"A lot","Undergraduate degree",Other,"Freeze time",Healthy,Friend,Health
2012,[2012],USA,PA,Male,17,[17],Right-Handed,175,24.75,170,1,Car,15,0.359,26,Other,750,200,750,1000,1000,1000,25,"Right foot",100,90,"Index finger",November,Winter,No,Yes,Pizza/Pasta,Water,"Computers and technology",8,10,8,"Yes - broadband connection","In person",0,0,5,0,10,1,0,30,1,0,30,1,0,0,Some,"Graduate degree",Other,"Freeze time",Happy,"Doctor or nurse",Health
2015,[2015],USA,CA,Male,17,[17],Right-Handed,176,32,180,1,Car,10,0.373,46,Soccer,500,300,500,500,400,500,31,"Right foot",100,83,"Index finger",April,Summer,Yes,No,Seafood,Water,Science,7,10,4,"Yes - broadband connection","In person",50,50,20,5,25,15,10,4,3,2,20,10,14,4,Some,"Graduate degree","Rock and roll",Fly,Happy,"Business person",Health
2013,[2013],USA,MN,Female,10,[10],Left-Handed,145,21,135,1,Car,10,0.891,46,Dancing,904,0,0,,0,0,21,"Same length",,,,,,,,,,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2014,[2014],USA,CO,Female,16,[16],Right-Handed,163,24,180,1,Bus,20,0.631,46,Tennis,642,561,567,348,10,97,24,"Same length",75,80,"Ring finger",November,Fall,Yes,No,"No favorite",Water,Science,7,9,3,"Yes - broadband connection","Text messaging",4,10,6,0,14,7,7,0,3,3,48,5,0,2,"A lot","Graduate degree","Punk rock","Freeze time",Rich,Friend,Health
2015,[2015],USA,SC,Male,15,[15],Right-Handed,152,34,152,1,Car,5,0.537,40,Golf,0,0,0,0,0,0,12,"Right foot",,,,February,Fall,No,No,Pizza/Pasta,Water,"Mathematics and statistics",8,6,4,"Yes - other","Text messaging",65,78,7,3,1,2,5,6,4,84,7,2,1,3,None,"High school","Rap/Hip hop","Super strength",Rich,"Sports person",Environment
2015,[2015],USA,TN,Male,16,[16],Right-Handed,183,29.2,183,2,Car,30,0.398,65,Basketball,600,200,500,400,800,750,29,"Same length",75,80,"Ring finger",March,Summer,No,No,Pizza/Pasta,Tea,Languages,5,9,7,"Yes - broadband connection","In person",10,8,15,1,12,20,5,25,2,1,30,18,0,7,"A lot","Graduate degree",Country,Invisibility,Happy,Relative,Health
2013,[2013],USA,CA,Male,16,[16],Right-Handed,175,23,168,4,Car,15,0.245,35,Basketball,687,800,900,1000,700,600,24,"Left foot",89,82,"Index finger",March,Summer,No,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",6,10,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",10,15,3,1,35,25,14,0,30,5,30,0,0,5,"A lot","Graduate degree",Jazz,"Freeze time",Happy,"Coach or club leader","Education/Youth development"
2013,[2013],USA,CA,Female,0,,Right-Handed,156,21.3,156,2,Car,6,0.337,41,Dancing,503,636,925,979,615,529,21,"Same length",65,65,"Same length",July,Winter,Yes,No,Poultry,Juice,English,6,8,6,"Yes - other","Myspace, Facebook, other social networking sites, or blog",5,6,7,2,20,15,6,10,9,4,21,12,3,14,Some,"Graduate degree",Pop,Telepathy,Famous,"Musician or singer",Religious
2011,[2011],USA,NY,Female,17,[17],Right-Handed,160,24,162,1,Car,30,0.318,39,Soccer,941,679,390,,203,203,24,"Same length",92,96,"Ring finger",June,Fall,Yes,No,Breads/Sandwiches,Water,"Mathematics and statistics",5,7,6,"Yes - other","Text messaging",30,34,5,3,5,17,7,1,5,7,6,7,0,4,Some,"Graduate degree","Rock and roll","Super strength",Happy,Relative,Health
2010,[2010],USA,UT,Female,14,[14],Right-Handed,0,0,0,1,Car,8,0.532,39,Running/Jogging,500,750,750,,1000,1000,0,,,,,November,Fall,No,No,Salads,Water,English,5,10,7,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,6,2,2,12,2,5,5,3,30,2,0,5,Some,"Graduate degree",Techno/Electronic,Telepathy,Happy,Friend,"Education/Youth development"
2014,[2014],USA,PA,,0,,,0,0,0,0,,0,0,0,Basketball,999,1000,10,20,11,500,0,,,,,December,Winter,,,Desserts,Water,Science,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Some,,,Invisibility,,,
2015,[2015],USA,CO,Female,17,[17],Right-Handed,173,23,166,2,Car,30,0.363,54,Basketball,750,900,600,500,1000,1000,24,"Left foot",70,75,"Ring finger",January,Winter,No,No,Pizza/Pasta,Water,Art,8,10,4,"Yes - broadband connection","Text messaging",50,50,10,1,15,5,10,4,7,7,50,2,0,2,"A lot","Less than high school",Pop,Fly,Rich,"Musician or singer",Health
2012,[2012],USA,SC,Male,16,[16],Right-Handed,0,0,0,2,Car,20,0.526,41,Basketball,200,200,100,400,334,902,0,,73,73,"Same length",February,Fall,Yes,No,Pizza/Pasta,Water,Music,8,12,4,"Yes - other","In person",103,103,10,3,10,4,2,0,2,3,2,5,6,3,"Very little",Other,Pop,Invisibility,Rich,"Business person","Education/Youth development"
2015,[2015],USA,OH,Female,17,[17],Right-Handed,160,15,160,1,Bus,30,0,41,Baseball/Softball,674,674,674,508,128,128,15,"Same length",,,,April,Summer,No,No,Other,Water,"Social studies",6,8,4,"Yes - other","In person",100,120,55,1,2,2,21,0,5,72,45,35,0,2,"A lot","Graduate degree","Rock and roll","Super strength",Happy,Relative,"Education/Youth development"
2015,[2015],USA,CA,Male,16,[16],Right-Handed,178,25,175,1,Car,35,0.369,41,Swimming,300,100,100,100,1000,1000,25,"Same length",75,70,"Index finger",September,Summer,No,Yes,Pizza/Pasta,Water,"Computers and technology",6,8,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,3,1,7,3,12,2,8,1,37,10,0,0,Some,"Graduate degree",Techno/Electronic,Telepathy,Rich,"Business person",Environment
2013,[2013],USA,GA,Female,11,[11],Right-Handed,122,24,157,2,Bus,60,0.608,49,Dancing,0,100,100,100,10,100,24,"Same length",,,,,,,,,,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2014,[2014],USA,GU,Female,16,[16],Left-Handed,152,22,152,2,Car,45,0,86,None,171,37,246,449,786,845,22,"Same length",100,80,"Index finger",January,Winter,Yes,No,"Rice/Noodle dishes",Water,"Physical education",0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2015,[2015],USA,WI,Female,12,[12],Right-Handed,152,22.86,163,3,Car,2,0.278,42,Other,668,636,225,118,358,727,23,"Right foot",69.85,76.2,"Ring finger",September,Fall,Yes,Yes,"No favorite",Tea,Science,10,7,4,"Yes - other","Text messaging",20,25,4,1,3,5,2,3,1,1,2,4,2,1,Some,"Graduate degree","Heavy metal","Freeze time",Rich,Actor,"Wildlife, animals"
2014,[2014],USA,PA,Female,17,[17],Right-Handed,157,21,148,2,Bus,10,0.366,54,Other,500,700,600,400,1000,1000,22,"Left foot",70,75,"Ring finger",April,Summer,No,No,Meat,,English,6,11,5,"Yes - broadband connection","Text messaging",25,34,42,5,2,14,28,4,1,3,10,35,16,3,"Very little","Graduate degree",Other,Invisibility,Happy,"Business person","Wildlife, animals"
2013,[2013],USA,SC,Female,16,[16],Right-Handed,165,21.8,158,2,Car,5,0.391,32,Baseball/Softball,439,294,529,321,326,460,22,"Left foot",70,75,"Ring finger",May,Summer,Yes,No,Pizza/Pasta,"Sports drink","Physical education",6,13,5,"Yes - broadband connection","Text messaging",0,0,6,1,5,3,4,8,2,12,3,9,7,5,"A lot","Undergraduate degree",Country,Telepathy,Famous,"Sports person","Arts, culture, sports"
2011,[2011],USA,CA,Female,17,[17],Right-Handed,162,24,166,1,Car,12,0.254,36,Baseball/Softball,650,700,750,,950,900,24,"Same length",93,100,"Ring finger",November,Summer,Yes,No,"Rice/Noodle dishes",Juice,Science,6,10,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",3,3,0,1,15,25,1,3,14,10,30,20,0,2,Some,"Graduate degree",Pop,Telepathy,Happy,"Religious figure",Religious
2013,[2013],USA,RI,Male,12,[12],Right-Handed,139,11.43,137,1,Bus,38,0.453,38,Baseball/Softball,1000,1000,1000,1000,0,0,11,"Same length",101.6,101.6,"Same length",January,Summer,Yes,No,Other,Water,"Mathematics and statistics",8,8,8,"Yes - broadband connection","Text messaging",10,6,0,0,1,2,2,0,1,0,1,0,0,1,"Very little","Graduate degree","Rap/Hip hop","Freeze time",Healthy,Relative,Other
2014,[2014],USA,NJ,Male,0,,Right-Handed,187,13,168,2,Car,5,0.586,33,"Football (American)",300,500,400,200,1000,1000,13,"Same length",60,62,"Ring finger",October,Summer,No,No,Meat,"Powdered drink","Mathematics and statistics",7,7,4,"Yes - broadband connection","Cell phone",350,300,10,10,2,6,2,3,1,10,10,5,15,1,Some,"Graduate degree","Rap/Hip hop","Super strength",Rich,Other,"Education/Youth development"
2012,[2012],USA,DC,Female,11,[11],Right-Handed,132,25,144,2,Car,60,0,49,Soccer,1000,1000,1000,1000,155,144,25,"Same length",80,70,"Index finger",December,Summer,No,No,Salads,Juice,"Physical education",9,11,4,"Yes - broadband connection","In person",0,0,1,5,1,6,1,1,2,6,1,3,2,1,None,"Graduate degree",Pop,Invisibility,Healthy,"Doctor or nurse",Health
2013,[2013],USA,PA,Female,0,,Right-Handed,137,20,158,1,Car,5,0.394,40,Running/Jogging,492,898,797,797,984,984,20,"Same length",70,70,"Same length",March,Summer,Yes,No,Seafood,Water,"Physical education",8,10.5,5,"Yes - broadband connection","In person",15,16,8,1,0,14,15,0,2,1,6,9,18,3,"Very little","Graduate degree",Country,Invisibility,Happy,Relative,"Wildlife, animals"
2014,[2014],USA,IL,Male,12,[12],Ambidextrous,149,24.13,154,1,Car,5,0.342,38,Bowling,3,2,1,4,6,5,21,"Right foot",80,75,"Index finger",October,Fall,Yes,No,Pizza/Pasta,"Soft drink (caffeinated)","Physical education",8,10,4,"Yes - broadband connection","Cell phone",0,0,12,2,1,10,5,10,2,1,4,2,0,5,"Very little","Graduate degree","Heavy metal","Freeze time",Healthy,Other,Health
2012,[2012],USA,TX,Male,14,[14],Right-Handed,158,26,157,1,Car,6,0.341,55,"Football (American)",900,600,1000,950,200,100,26,"Same length",70,70,"Same length",February,Winter,No,No,Pizza/Pasta,"Soft drink (caffeinated)",History,5,11,4,"Yes - broadband connection","Text messaging",200,200,30,20,20,5,10,5,20,20,20,10,0,2,"Very little","Graduate degree",Other,Invisibility,Famous,Other,Health
2014,[2014],USA,MA,Female,11,[11],,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2014,[2014],USA,MD,Male,13,[13],Right-Handed,152,25,164,1,Bus,25,0.353,55,"Football (American)",781,893,273,492,1000,1000,23,"Right foot",,,,February,Summer,Yes,No,Meat,Juice,Art,8,7,5,"Yes - other","Cell phone",48,52,5,12,7,11,9,8,12,7,8,9,6,7,Some,"High school","Rap/Hip hop","Super strength",Rich,Relative,"International aid"
2011,[2011],USA,TX,Female,0,,Right-Handed,168,24,168,1,Car,7,0.384,49,Tennis,100,50,1000,,10,60,25,"Left foot",70,75,"Ring finger",August,Summer,No,,,Milk,History,8,8,3,,,100,100,20,3,15,15,15,0,3,2,5,0,0,2,"A lot","Graduate degree",Country,Fly,Happy,Other,Health
2013,[2013],USA,NM,Female,17,[17],Left-Handed,170,27,170,1,Car,20,0.43,39,Running/Jogging,550,500,600,660,400,450,27,"Same length",76.5,64.4,"Index finger",May,Fall,No,No,Meat,Water,Art,8,7,6,"Yes - broadband connection","Cell phone",250,255,14,6,7,7,12,0,8,8,5,5,21,7,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,"Business person","International aid"
2011,[2011],USA,NC,Female,17,[17],Right-Handed,165,24,144,1,Car,12,0.297,44,Walking/Hiking,1000,1000,1000,,700,700,23,"Right foot",70,72,"Ring finger",June,Fall,Yes,No,Seafood,Water,Art,8,10,3,"Yes - broadband connection","In person",15,15,7,1,12,10,7,0,1,1,1,1,8,8,"A lot","Graduate degree",Other,"Freeze time",Happy,Relative,Environment
2015,[2015],USA,CO,Male,17,[17],Ambidextrous,120,20.32,200,4,Boat,0,0,0,"Hockey (Ice)",4,3,4,3,4,3,20,"Same length",,,,December,Summer,No,No,Meat,Coffee,"Computers and technology",3,6,2,"Yes - other","Cell phone",0,0,48,48,88,48,44,48,88,88,88,88,88,88,"A lot","Graduate degree","Rock and roll","Freeze time",Rich,Other,Health
2015,[2015],USA,NY,Male,13,[13],Right-Handed,170,25,164,1,Bus,15,0.374,38,Baseball/Softball,10,100,200,100,500,750,25,"Same length",85,87,"Ring finger",January,Summer,Yes,No,Breads/Sandwiches,Water,"Mathematics and statistics",8,6,5,"Yes - other","Text messaging",20,10,14,0,2,5,10,5,1,2,20,3,0,4,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Healthy,Other,Health
2014,[2014],USA,GA,Female,14,[14],Right-Handed,155,23,165,2,Car,15,0.403,35,Swimming,50,50,50,50,1000,1000,22,"Right foot",70,80,"Ring finger",May,Winter,No,Yes,Salads,Milk,History,8,12,5,"Yes - broadband connection","Text messaging",0,0,40,3,10,70,5,0,2,3,20,20,0,15,"A lot","Graduate degree",Other,Telepathy,Famous,"Business person","Education/Youth development"
2013,[2013],USA,MD,Male,12,[12],Right-Handed,152,25.65,232,1,Car,4,1.155,0,None,10,10,5,5,10,10,26,"Same length",100,100,"Same length",May,Spring,Yes,No,Meat,"Sports drink","Mathematics and statistics",8,5,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,5,10,10,9,10,10,10,10,0,10,10,0,10,Some,"High school","Punk rock",Telepathy,Rich,Other,Environment
2014,[2014],USA,UT,Male,17,[17],Right-Handed,166,24,166,2,Car,20,0.287,53,"Football (American)",1000,1000,1000,1000,750,750,24,"Same length",90,70,"Index finger",March,Summer,No,No,Meat,Water,"Physical education",6,10,3,"Yes - broadband connection","Text messaging",200,200,12,1,8,25,1,25,1,30,5,2,0,1,Some,"Graduate degree",Pop,"Freeze time",Happy,Friend,"Education/Youth development"
2013,[2013],USA,OH,Female,15,[15],Right-Handed,173,24,180,1,Bus,30,0.375,54,Athletics,800,900,700,1000,600,500,26,"Left foot",90,80,"Index finger",April,Summer,No,No,Fruit,Juice,"Mathematics and statistics",6,,3,"Yes - other","Cell phone",150,200,4,2,1,1,0,0,18,20,24,10,0,12,"A lot","Graduate degree","Rhythm and blues (R&B)",Invisibility,Happy,Relative,"Arts, culture, sports"
2011,[2011],USA,DE,Female,16,[16],Right-Handed,170,22,169,2,Car,4,0.381,34,Dancing,600,500,500,,800,900,23,"Left foot",70,84,"Ring finger",June,Summer,No,No,"Rice/Noodle dishes",Tea,History,5,13,3,"Yes - broadband connection","Text messaging",200,210,6,1,13,2,4,0,6,80,8,8,0,1,Some,"Undergraduate degree","Rap/Hip hop",Telepathy,Happy,"Doctor or nurse",Health
2010,[2010],USA,PA,Male,17,[17],Right-Handed,185,28,178,2,Bus,15,0.556,45,Other,700,500,800,,400,600,28,"Same length",90,102,"Ring finger",April,Fall,Yes,No,"No favorite",Water,History,6,11,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",10,10,10,1,20,5,11,0,7,4,11,7,0,7,"A lot","Graduate degree",Other,Telepathy,Happy,Relative,"International aid"
2011,[2011],USA,NM,Female,17,[17],Right-Handed,173,22.5,167,1,Car,25,0.359,42,Walking/Hiking,620,904,348,,1000,1000,22,"Right foot",90,80,"Index finger",May,Summer,Yes,No,Breads/Sandwiches,Milk,English,5,8,3,"Yes - broadband connection","Text messaging",100,115,21,5,5,21,2,0,7,20,10,9,0,14,Some,"Graduate degree","Rock and roll","Freeze time",Happy,Relative,"Wildlife, animals"
2012,[2012],USA,CA,Female,15,[15],Right-Handed,164,24,164,2,Car,10,0.45,16,Walking/Hiking,1000,1000,1000,1000,750,750,24,"Same length",80,80,"Same length",December,Winter,,No,"No favorite",Water,"Mathematics and statistics",7,10,5,"Yes - broadband connection","In person",20,25,3,0,18,8,3,0,0,1,5,3,0,1,Some,"Undergraduate degree",Other,Telepathy,Happy,"Business person","International aid"
2013,[2013],USA,NC,Female,11,[11],Right-Handed,152,23,150,1,Bus,5,0.474,56,Dancing,5,5,5,5,100,100,24,"Left foot",68,72,"Ring finger",October,Summer,Yes,No,Pizza/Pasta,Water,Art,9,10,5,"Yes - other","Text messaging",10,10,4,1,4,1,1,2,0,3,3,8,0,2,Some,Other,Country,"Super strength",Healthy,Teacher,"Education/Youth development"
2013,[2013],USA,WI,Female,13,[13],Right-Handed,157,20,161,0,,0,0,0,,0,0,0,,0,0,20,"Same length",,,,,,,,,,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2015,[2015],USA,FL,Male,16,[16],Right-Handed,177,25,166,2,Car,20,0.891,48,Soccer,900,500,600,700,600,800,26,"Left foot",75,83,"Ring finger",November,Summer,No,No,Meat,Water,"Mathematics and statistics",7,9,3,"Yes - broadband connection","Text messaging",50,50,12,6,6,5,8,3,4,20,8,1,0,1,Some,Other,Techno/Electronic,Fly,Rich,Friend,Environment
